ASV_ID,ER1,ER2,ER3,ExtCtrl,G1R1,G1R2,G1R3,G2R1,G2R2,G2R3,MockPosCtrl,PCRCtrl,RP1R1,RP1R2,RP1R3,RP2R1,RP2R2,RP2R3,SL1R1,SL1R2,SL1R3,SL2R1,SL2R2,SL2R3
fec89e9b8682900b7736de485a80dc46,2929,3095,3117,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,3015,0,0
9f08cdc70c198a118472dc8fbab9f5d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5801,2167,4544,0,0,0,0,0,0
b686c073db9da85561ead328cb69b51a,2939,2796,2518,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,3740,0,0
c430f1de947ea0d8db691ab6eae78994,2627,3286,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0
7609505ddd64cbcf63b81193aa61d1d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,7,2563,7456,0,412,1089
7e4c751b85b3dbf9a93b80caea4423b7,0,0,0,0,0,0,0,0,0,0,0,0,356,178,35,2488,3666,5217,0,0,0,0,0,0
109e1c26f1b81ec1a2bc959074170715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4205,3410,4276,0,0,0,0,0,0
9bcd609409f9c49085170728c95a77f3,2716,3089,2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3142,0,0
0cbdc01cb199411e4aae74463b9f91fe,0,0,0,0,0,18,0,3826,4076,3302,0,0,0,0,0,0,418,0,0,0,0,0,53,0
fedab7c022908eee8da56f1018f7e6f5,2777,2720,2977,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,3117,0,0
64f82e1a6ef9acbe6f091f0f1532c028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5567,2865,3214,0,0,0,0,0,0
24367356e210e164d2900a835ff7df88,0,0,0,0,1946,1734,226,2017,1902,2772,0,0,0,97,0,0,0,0,0,0,0,0,861,0
c5b0ca3fd4409b2670a37e030b50091d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,8625,0,700,921
7d6fac4dc518206d8542999c616ea379,3073,2781,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034,0,0
a37743556d4176fb34d47d99c3830e03,0,0,0,0,0,0,0,0,0,0,0,0,858,394,1100,3452,2459,2831,0,0,0,0,0,0
e24d6a4710b6dfd7a23e84ba136cafb3,0,0,0,0,0,0,0,0,0,0,0,0,1943,3220,2392,88,0,0,0,943,237,0,768,1073
7629a870a7070d2b1e455bb34c5ea7e6,0,0,0,0,1213,1115,662,2149,1875,2941,0,0,0,39,0,0,0,0,0,0,0,0,657,0
be4ff907a087e2f60750879be884d6d5,0,0,0,0,610,556,79,2792,2868,3132,0,0,0,68,0,0,0,0,0,0,0,0,526,0
b4f2c78e7f6dded1315f378aeb0b1265,0,0,0,0,2079,1946,870,1446,1444,1376,0,0,0,0,0,0,0,0,0,0,0,0,1286,0
1291203880c27350babb794f14f79c94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5018,5386
010c360227efeaf91e075735574d622e,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2641,2794,4816,0,0,0,0,0,0
44d6042b3e5e0054d411d039403bd3b1,0,0,0,0,0,0,0,0,0,0,0,0,2245,1852,1586,0,0,0,0,2802,473,0,1017,255
aaebdabbc51e52fe847046b4cfc5a0df,2246,2557,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172,0,0
ccc7bb4ba3e04471bbce4bfbf5e2d24f,0,0,0,0,0,0,0,0,0,0,0,0,375,1082,419,4106,3653,254,0,0,0,0,0,0
8ae1b5160a46cf0bab454694e05516aa,0,0,0,0,207,208,355,2671,2958,3185,0,0,0,0,0,0,0,0,0,0,0,0,105,0
ea3d905bad34f37f8413f5ec47bb9246,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,1389,3450,0,1958,2514
6fac083934ddca29c71fb9e4a323425a,0,0,0,0,1198,1345,35,1931,2093,1899,0,0,0,0,0,0,0,0,0,0,0,0,1099,0
