ASV_ID,ExtCtrl,G_R1,G_R2,G_R3,MockPosCtrl,Ot_R1,Ot_R2,Ot_R3,PB_R1,PB_R2,PB_R3,PCRCtrl,R_R1,R_R2,R_R3,T_R1,T_R2,T_R3,Z_R1,Z_R2,Z_R3
32c6c1272a9b358e3b3a25fed798d50a,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3623,2854,1541
9dbb25d662cf092147649b3d26beacf9,0,0,0,0,0,0,0,8004,0,0,0,0,0,0,0,0,0,0,0,0,0
804d64fa351a9d41afcdd3e059543e09,0,0,0,0,0,0,0,0,0,0,0,0,4803,1407,1780,0,0,0,0,0,0
5548203643a5761c3d78f848dbe16e3a,0,0,0,0,0,0,0,0,0,0,0,0,4292,2223,1424,0,0,0,0,0,0
7a5208b000cba252956acbe8e08ea58f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007,3713,1173
ad934cfab7dc794ce58349397e7f7a70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3494,3277,1065
96470ec454bc3520b578280d8eab3576,0,0,0,0,0,0,5543,0,0,0,0,0,1301,575,342,0,0,0,0,0,0
bc7730b496eff0348b3318cee0a55124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3553,2678,1465
1ee27c5920fa7af1f194962163c5d78a,0,0,0,0,0,0,7513,0,0,0,0,0,32,63,17,0,0,0,0,0,0
141b0b0a9440dcd78946f7c04b1b46d9,0,0,0,0,0,0,7616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a85799cdd50f3029cb6a8ec0f7d734f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826,3725,1047
0105f27487ec81bf9553e11261422174,0,0,0,0,0,0,0,0,0,0,0,0,4975,1220,1326,0,0,0,0,0,0
786bf03b09d6182cecb8fa0c2fd43c5a,0,0,0,0,0,0,7506,0,0,0,0,0,0,0,0,0,6,0,0,0,0
9dba6f72d1697594ab1ab5bd0ecd9bd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528,2580,1300
d0dc2300b1be8f777e83bd000298b194,0,0,0,0,0,0,0,0,0,0,0,0,4457,1659,1245,0,0,0,0,0,0
002617c7538c530d04308f047a490bf9,0,0,0,0,0,7352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
