ID,WS023_S167,WS026_S140,WS027_S171,WS028_S161,WS029_S141,WS031_S151,WS032_S170,WS034_S142,WS035_S152,WS036_S172,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
7f03ec5ff74d0df8f83e940419c6277c,0,0,0,0,0,0,0,51,0,0,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Baekduia,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Baekduia,NA,0.7474152421400604
0029a8a16844ca04a20fcdd169986530,0,0,0,0,0,0,0,32,19,0,d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__JAHJJA01;s__JAHJJA01 sp018822885,Bacteria,Omnitrophota,Koll11,Gygaellales,Profunditerraquicolaceae,JAHJJA01,JAHJJA01 sp018822885,0.979392258480299
81af348d4c4f9c1c19d1682a9b50a78c,0,0,0,0,0,0,0,0,25,26,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__UBA2475 sp945887955,Bacteria,Bacteroidota,Bacteroidia,B-17B0,B-17BO,UBA2475,UBA2475 sp945887955,0.989316671096007
44495f2639e4b22058b24f49fc23187d,0,0,0,0,0,0,0,0,23,28,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__Bacteriovorax sp946482295,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,Bacteriovorax sp946482295,0.9508516841604338
5f9339ca131893e927442733a55c6c3a,0,0,0,0,0,0,0,0,15,36,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella,Bacteria,Pseudomonadota,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,NA,0.7104620732298449
93f8b6d1982438a360b0fa2134595f67,0,0,0,0,0,0,0,0,5,46,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__OLB11,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,OLB11,NA,0.97765309799442
69520f4fb901a7702eacf0910c987d58,0,0,0,0,0,0,0,0,0,51,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA,0.75959100390174
e155adb2e133009ea53c209d997ea251,29,0,0,21,0,0,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA,0.9746758788897624
7b11cf8dc63d1fcf7d1c287f7f472f45,25,0,0,25,0,0,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA2040;s__UBA2040 sp024643585,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA2040,UBA2040 sp024643585,0.866612528470536
5b1716038f6d7cc082ebe14197bd3f09,24,0,0,0,0,0,0,0,5,21,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__RYN-427;s__RYN-427 sp028288925,Bacteria,Patescibacteria,Saccharimonadia,UBA4664,UBA4664,RYN-427,RYN-427 sp028288925,0.8454256686682611
836743f36229429ca7666d8f507badc4,19,0,0,6,6,0,0,0,19,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,NA,0.7203473887834773
52ec9f0a8d873f37d90cf3e08deb6819,16,0,0,23,0,11,0,0,0,0,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__UBA668 sp002299395,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA668,UBA668 sp002299395,0.7299704070398795
5e2c4c1d1d299c488450df328f211e52,8,0,0,0,42,0,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__Micavibrio_B;s__Micavibrio_B aeruginosavorus_A,Bacteria,Pseudomonadota,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,Micavibrio_B,Micavibrio_B aeruginosavorus_A,0.9995568868028998
c1027f1fc5c7ed9a1f35f4a2dfd02fd2,5,0,0,0,31,0,0,0,14,0,d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CF-154;s__CF-154 sp005879655,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,CF-154,CF-154 sp005879655,0.9965512840443936
56f916195bc8c0f0f514156623579fbd,0,50,0,0,0,0,0,0,0,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__ER46;s__ER46 sp003054705,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,ER46,ER46 sp003054705,0.7866792890042628
8b3fa9b09529fb3861d684ab228b7ee7,0,50,0,0,0,0,0,0,0,0,d__Bacteria;p__Riflebacteria;c__Ozemobacteria;o__Ozemobacterales;f__Ozemobacteraceae;g__Rifleibacterium;s__Rifleibacterium amylolyticum,Bacteria,Riflebacteria,Ozemobacteria,Ozemobacterales,Ozemobacteraceae,Rifleibacterium,Rifleibacterium amylolyticum,0.9420743152134649
5f1a69e4963377e0ab6d1f15782f2ff4,0,50,0,0,0,0,0,0,0,0,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Haliovirgaceae;g__Haliovirga;s__Haliovirga abyssi,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Haliovirgaceae,Haliovirga,Haliovirga abyssi,0.7883220763281864
5ba0dcde5dd3659ab6e8acb3179165ca,0,34,16,0,0,0,0,0,0,0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AD;s__Clostridium_AD sp018861905,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_AD,Clostridium_AD sp018861905,0.905809235777488
5a78781b6a9559a8df663045d95d2a24,0,5,0,20,0,21,4,0,0,0,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia_D;s__Romboutsia_D sedimentorum,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia_D,Romboutsia_D sedimentorum,0.94250299752919
32a3934efa66246bbfa8c7bdfa52faad,0,0,50,0,0,0,0,0,0,0,d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__UBA6249;s__UBA6249 sp028716245,Bacteria,Omnitrophota,Koll11,Gygaellales,Profunditerraquicolaceae,UBA6249,UBA6249 sp028716245,0.924688247768572
e97616c4cfcf81345dbcb531b29015e9,0,0,50,0,0,0,0,0,0,0,d__Bacteria;p__Omnitrophota;c__Koll11;o__2-01-FULL-45-10;f__2-01-FULL-45-10;g__2-01-FULL-45-10;s__2-01-FULL-45-10 sp030695905,Bacteria,Omnitrophota,Koll11,2-01-FULL-45-10,2-01-FULL-45-10,2-01-FULL-45-10,2-01-FULL-45-10 sp030695905,0.9880245163804692
1f7e6247e6cb5b00439c374e128f67db,0,0,29,0,0,0,0,0,21,0,d__Bacteria;p__Omnitrophota;c__Koll11;o__Gorgyraeales;f__Gorgyraeaceae;g__UBA10183;s__UBA10183 sp030649895,Bacteria,Omnitrophota,Koll11,Gorgyraeales,Gorgyraeaceae,UBA10183,UBA10183 sp030649895,0.797130078488506
97beb475bed77efb3ac28a149db5c322,0,0,26,0,24,0,0,0,0,0,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__Bacteriovorax stolpii,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,Bacteriovorax stolpii,0.9088166889816456
d83911bea033d92fe4a218fa370f2bc2,0,0,10,0,0,0,0,0,21,19,d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24,Bacteria,Patescibacteria,ABY1,SG8-24,NA,NA,NA,0.7870890021353101
cd747148c70abb84bd5cb8ee09cd9f7f,0,0,8,0,0,39,0,0,3,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Lentimicrobiaceae,Lentimicrobium,NA,0.8710581369727217
7f9440ceabfdb929a4211dfdbbf2a53f,0,0,6,0,37,7,0,0,0,0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA,0.9993832821624264
e9ac9b2bedb4d0e963d58d3718a439f0,0,0,4,0,0,0,0,0,46,0,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,NA,NA,0.8838786286934458
